Crop_ID,Crop_Name,Variety,Season,NPK_Ratio,FYM_kg,Vermicompost_kg,Neem_Cake_kg,Growth_Duration_Days,Soil_Type,Region,Yield_Potential_Tonnes_per_ha,pH_Range,Irrigation_Interval_Days
AG067,Sugarcane,CO 419,Annual,5:2:2,97,67,47,368,Clay loam,Maharashtra,93,6.5-7.5,7
AG068,Sugarcane,CO 740,Annual,5:2:2,95,65,45,362,Sandy loam,Karnataka,91,6.0-7.0,8
AG069,Turmeric,Rajendra Sonia,Kharif,3:1:2.4,87,57,37,244,Red soil,Bihar,27,6.0-7.0,8
AG070,Turmeric,Suguna,Both,3:1:2.4,85,55,35,240,Clay loam,Andhra Pradesh,28,6.5-7.5,7
AG071,Maize,Ganga 11,Kharif,2:1:1,74,49,29,102,Black soil,UP,8.9,6.0-7.0,8
AG072,Maize,Deccan 103,Rabi,2:1:1,77,52,32,106,Red soil,Karnataka,9.3,6.5-7.5,7
AG073,Groundnut,GG 20,Both,1:2:3,69,44,29,113,Sandy loam,Gujarat,2.8,6.0-7.0,9
AG074,Groundnut,K 6,Kharif,1:2:3,71,46,31,116,Red soil,Andhra Pradesh,3.0,6.5-7.5,10
AG075,Banana,Monthan,Annual,2:1:3,89,59,39,372,Rich loam,Tamil Nadu,41,6.0-7.5,3
AG076,Banana,Ney Poovan,Annual,2:1:3,87,57,37,368,Sandy loam,Kerala,39,6.5-7.0,4
AG077,Tomato,Pusa Rohini,Kharif,5:2.5:2,84,54,34,94,Well-drained,Delhi,37,6.0-7.0,4
AG078,Tomato,Arka Meghali,Both,5:2.5:2,87,57,37,96,Red soil,Karnataka,40,6.5-7.5,3
AG079,Chilli,LCA 334,Kharif,3:1:1,75,50,30,154,Black soil,Telangana,2.7,6.0-7.0,5
AG080,Chilli,Byadagi,Both,3:1:1,77,52,32,160,Red soil,Karnataka,3.0,6.5-7.5,6
AG081,Onion,Bhima Super,Rabi,3:1:1,72,47,27,93,Sandy loam,Maharashtra,17,6.0-7.0,4
AG082,Onion,Pusa Red,Kharif,3:1:1,70,45,25,91,Red soil,UP,14,6.5-7.5,5
AG083,Coconut,Chowghat Orange,Annual,5:3:12,99,69,49,365,Coastal sandy,Kerala,152,6.0-7.0,7
AG084,Ragi,VR 708,Kharif,3:1:1,73,48,28,117,Sandy loam,Karnataka,2.8,6.5-7.5,8
AG085,Ragi,GPU 67,Both,3:1:1,75,50,30,119,Red soil,Tamil Nadu,3.1,6.0-7.0,9
AG086,Paddy,MTU 1010,Kharif,4:1:1,88,58,38,130,Clay,Telangana,5.9,5.5-6.5,1
AG087,Paddy,Jaya,Rabi,4:1:1,86,56,36,132,Alluvial,UP,5.6,5.0-6.0,1
AG088,Cotton,Bunny,Kharif,2:1:1,77,52,32,164,Black soil,Maharashtra,2.5,6.5-7.5,11
AG089,Cotton,DCH 32,Both,2:1:1,80,55,35,170,Deep black,Karnataka,2.7,6.0-7.0,10
AG090,Sugarcane,CO 997,Annual,5:2:2,96,66,46,366,Clay loam,Tamil Nadu,94,6.5-7.5,7
AG091,Sugarcane,CO 62198,Annual,5:2:2,94,64,44,364,Sandy loam,UP,90,6.0-7.0,8
AG092,Turmeric,PCT 13,Kharif,3:1:2.4,86,56,36,243,Red soil,Tamil Nadu,28,6.0-7.0,8
AG093,Turmeric,Krishna,Both,3:1:2.4,84,54,34,241,Clay loam,Andhra Pradesh,26,6.5-7.5,7
AG094,Maize,Vivek QPM 9,Kharif,2:1:1,75,50,30,103,Black soil,Bihar,9.0,6.0-7.0,8
AG095,Maize,HQPM 1,Rabi,2:1:1,78,53,33,107,Red soil,Haryana,9.4,6.5-7.5,7
AG096,Groundnut,Kadiri 6,Both,1:2:3,70,45,30,114,Sandy loam,Andhra Pradesh,2.9,6.0-7.0,9
AG097,Groundnut,ICGS 76,Kharif,1:2:3,72,47,32,117,Red soil,Gujarat,3.1,6.5-7.5,10
AG098,Banana,Rasthali,Annual,2:1:3,90,60,40,374,Rich loam,Maharashtra,42,6.0-7.5,3
AG099,Banana,Karpuravalli,Annual,2:1:3,88,58,38,370,Sandy loam,Tamil Nadu,40,6.5-7.0,4
AG100,Tomato,NS 815,Both,5:2.5:2,85,55,35,95,Well-drained,Maharashtra,38,6.0-7.0,4
AG101,Tomato,Lakshmi,Kharif,5:2.5:2,86,56,36,97,Red soil,Karnataka,39,6.5-7.5,3
AG102,Chilli,Arka Lohit,Both,3:1:1,76,51,31,156,Black soil,Karnataka,2.8,6.0-7.0,5
AG103,Chilli,Pant C-1,Kharif,3:1:1,78,53,33,159,Red soil,UP,3.1,6.5-7.5,6
AG104,Onion,Bhima Kiran,Rabi,3:1:1,73,48,28,94,Sandy loam,Maharashtra,18,6.0-7.0,4
AG105,Onion,Arka Pragati,Both,3:1:1,71,46,26,92,Red soil,Karnataka,15,6.5-7.5,5
AG106,Coconut,Kalpa Pratibha,Annual,5:3:12,97,67,47,365,Coastal sandy,Kerala,153,6.0-7.0,7
AG107,Ragi,ML 419,Kharif,3:1:1,74,49,29,118,Sandy loam,Karnataka,2.9,6.5-7.5,8
AG108,Ragi,GPU 45,Both,3:1:1,76,51,31,120,Red soil,Tamil Nadu,3.2,6.0-7.0,9
AG109,Paddy,CO 51,Kharif,4:1:1,89,59,39,133,Clay,Tamil Nadu,6.0,5.5-6.5,1
AG110,Paddy,Uma,Rabi,4:1:1,87,57,37,134,Alluvial,West Bengal,5.7,5.0-6.0,1
AG111,Cotton,Anjali,Kharif,2:1:1,78,53,33,166,Black soil,Gujarat,2.6,6.5-7.5,11
AG112,Cotton,Surabhi,Both,2:1:1,81,56,36,171,Deep black,Maharashtra,2.8,6.0-7.0,10
AG113,Sugarcane,CO 85004,Annual,5:2:2,95,65,45,367,Clay loam,UP,92,6.5-7.5,7
AG114,Sugarcane,CO 94012,Annual,5:2:2,93,63,43,365,Sandy loam,Tamil Nadu,89,6.0-7.0,8
AG115,Turmeric,Suvarna,Kharif,3:1:2.4,85,55,35,242,Red soil,Maharashtra,27,6.0-7.0,8
AG116,Turmeric,Sugandham,Both,3:1:2.4,83,53,33,240,Clay loam,Kerala,25,6.5-7.5,7
AG117,Maize,Nithyashree,Kharif,2:1:1,76,51,31,104,Black soil,Tamil Nadu,9.1,6.0-7.0,8
AG118,Maize,Shakti 1,Rabi,2:1:1,79,54,34,108,Red soil,Karnataka,9.5,6.5-7.5,7
AG119,Groundnut,Dharani,Both,1:2:3,71,46,31,115,Sandy loam,Telangana,3.0,6.0-7.0,9
AG120,Groundnut,TPG 41,Kharif,1:2:3,73,48,33,118,Red soil,Tamil Nadu,3.2,6.5-7.5,10
AG121,Banana,Udhayam,Annual,2:1:3,91,61,41,375,Rich loam,Tamil Nadu,43,6.0-7.5,3
AG122,Banana,Saba,Annual,2:1:3,89,59,39,371,Sandy loam,Kerala,41,6.5-7.0,4
AG123,Tomato,Kashi Vishesh,Both,5:2.5:2,86,56,36,96,Well-drained,UP,39,6.0-7.0,4
AG124,Tomato,Arka Vikas,Kharif,5:2.5:2,87,57,37,98,Red soil,Karnataka,40,6.5-7.5,3
AG125,Chilli,Arka Meghana,Both,3:1:1,77,52,32,157,Black soil,Andhra Pradesh,2.9,6.0-7.0,5
AG126,Chilli,Pusa Sadabahar,Kharif,3:1:1,79,54,34,161,Red soil,Delhi,3.2,6.5-7.5,6
AG127,Onion,Bhima Dark Red,Rabi,3:1:1,74,49,29,95,Sandy loam,Maharashtra,19,6.0-7.0,4
AG128,Onion,Arka Niketan,Both,3:1:1,72,47,27,93,Red soil,Karnataka,16,6.5-7.5,5
AG129,Coconut,Kalpa Dhenu,Annual,5:3:12,98,68,48,365,Coastal sandy,Kerala,154,6.0-7.0,7
AG130,Ragi,VL 376,Kharif,3:1:1,75,50,30,119,Sandy loam,Uttarakhand,3.0,6.5-7.5,8
AG131,Ragi,GPU 48,Both,3:1:1,77,52,32,121,Red soil,Karnataka,3.3,6.0-7.0,9
AG132,Paddy,NDR 359,Kharif,4:1:1,90,60,40,134,Clay,UP,6.1,5.5-6.5,1
AG133,Paddy,Improved Samba,Rabi,4:1:1,88,58,38,135,Alluvial,Tamil Nadu,5.8,5.0-6.0,1
AG134,Cotton,Mallika,Kharif,2:1:1,79,54,34,167,Black soil,Maharashtra,2.7,6.5-7.5,11
AG135,Cotton,Brahma,Both,2:1:1,82,57,37,172,Deep black,Gujarat,2.9,6.0-7.0,10
AG136,Sugarcane,CO 86249,Annual,5:2:2,96,66,46,368,Clay loam,Maharashtra,93,6.5-7.5,7
AG137,Sugarcane,CO 95020,Annual,5:2:2,94,64,44,366,Sandy loam,Karnataka,90,6.0-7.0,8
AG138,Turmeric,Pratibha,Kharif,3:1:2.4,86,56,36,243,Red soil,Andhra Pradesh,28,6.0-7.0,8
AG139,Turmeric,Kedaram,Both,3:1:2.4,84,54,34,241,Clay loam,Tamil Nadu,26,6.5-7.5,7
AG140,Maize,Pusa HM 4,Kharif,2:1:1,77,52,32,105,Black soil,Delhi,9.2,6.0-7.0,8
AG141,Maize,KMH 3426,Rabi,2:1:1,80,55,35,109,Red soil,Maharashtra,9.6,6.5-7.5,7
AG142,Groundnut,Kadiri 9,Both,1:2:3,72,47,32,116,Sandy loam,Andhra Pradesh,3.1,6.0-7.0,9
AG143,Groundnut,TMV 13,Kharif,1:2:3,74,49,34,119,Red soil,Tamil Nadu,3.3,6.5-7.5,10
AG144,Banana,Pachanadan,Annual,2:1:3,92,62,42,376,Rich loam,Kerala,44,6.0-7.5,3
AG145,Banana,Hill Banana,Annual,2:1:3,90,60,40,372,Sandy loam,Tamil Nadu,42,6.5-7.0,4
AG146,Tomato,Arka Rakshak,Both,5:2.5:2,87,57,37,97,Well-drained,Karnataka,40,6.0-7.0,4
AG147,Tomato,Punjab Chhuhara,Kharif,5:2.5:2,88,58,38,99,Red soil,Punjab,41,6.5-7.5,3
AG148,Chilli,Pusa Jwala,Both,3:1:1,78,53,33,158,Black soil,UP,3.0,6.0-7.0,5
AG149,Chilli,K1,Kharif,3:1:1,80,55,35,162,Red soil,Tamil Nadu,3.3,6.5-7.5,6
AG150,Onion,Bhima Raj,Rabi,3:1:1,75,50,30,96,Sandy loam,Maharashtra,20,6.0-7.0,4
AG151,Onion,Arka Bindu,Both,3:1:1,73,48,28,94,Red soil,Karnataka,17,6.5-7.5,5
AG152,Coconut,Kalpa Mitra,Annual,5:3:12,99,69,49,365,Coastal sandy,Kerala,155,6.0-7.0,7
AG153,Ragi,INDAF 7,Kharif,3:1:1,76,51,31,120,Sandy loam,Karnataka,3.1,6.5-7.5,8
AG154,Ragi,GPU 66,Both,3:1:1,78,53,33,122,Red soil,Tamil Nadu,3.4,6.0-7.0,9
AG155,Paddy,ADT 37,Kharif,4:1:1,91,61,41,135,Clay,Tamil Nadu,6.2,5.5-6.5,1
AG156,Paddy,CR 1009,Rabi,4:1:1,89,59,39,136,Alluvial,West Bengal,5.9,5.0-6.0,1
AG157,Cotton,RCH 2,Kharif,2:1:1,80,55,35,168,Black soil,Gujarat,2.8,6.5-7.5,11
AG158,Cotton,Tulasi 4,Both,2:1:1,83,58,38,173,Deep black,Maharashtra,3.0,6.0-7.0,10
AG159,Sugarcane,CO 0118,Annual,5:2:2,97,67,47,369,Clay loam,Tamil Nadu,94,6.5-7.5,7
AG160,Sugarcane,CO 0238,Annual,5:2:2,95,65,45,367,Sandy loam,UP,91,6.0-7.0,8
AG161,Turmeric,IISR Prabha,Kharif,3:1:2.4,87,57,37,244,Red soil,Kerala,29,6.0-7.0,8
AG162,Turmeric,Roma,Both,3:1:2.4,85,55,35,242,Clay loam,Maharashtra,27,6.5-7.5,7
AG163,Maize,DMH 849,Kharif,2:1:1,78,53,33,106,Black soil,Karnataka,9.3,6.0-7.0,8
AG164,Maize,Bio 9681,Rabi,2:1:1,81,56,36,110,Red soil,Andhra Pradesh,9.7,6.5-7.5,7
AG165,Groundnut,CO 7,Both,1:2:3,73,48,33,117,Sandy loam,Tamil Nadu,3.2,6.0-7.0,9
AG166,Groundnut,GG 20,Kharif,1:2:3,75,50,35,120,Red soil,Gujarat,3.4,6.5-7.5,10
AG167,Banana,Thellachakkarakeli,Annual,2:1:3,93,63,43,377,Rich loam,Kerala,45,6.0-7.5,3
AG168,Banana,Martaman,Annual,2:1:3,91,61,41,373,Sandy loam,West Bengal,43,6.5-7.0,4
AG169,Tomato,Pusa Ruby,Both,5:2.5:2,88,58,38,98,Well-drained,Delhi,41,6.0-7.0,4
AG170,Tomato,Arka Saurabh,Kharif,5:2.5:2,89,59,39,100,Red soil,Karnataka,42,6.5-7.5,3
AG171,Chilli,Arka Harita,Both,3:1:1,79,54,34,159,Black soil,Karnataka,3.1,6.0-7.0,5
AG172,Chilli,CA 960,Kharif,3:1:1,81,56,36,163,Red soil,Andhra Pradesh,3.4,6.5-7.5,6
AG173,Onion,Bhima Shakti,Rabi,3:1:1,76,51,31,97,Sandy loam,Maharashtra,21,6.0-7.0,4
AG174,Onion,Arka Kalyan,Both,3:1:1,74,49,29,95,Red soil,Karnataka,18,6.5-7.5,5
AG175,Coconut,Kalpa Surya,Annual,5:3:12,100,70,50,365,Coastal sandy,Kerala,156,6.0-7.0,7
AG176,Ragi,VR 847,Kharif,3:1:1,77,52,32,121,Sandy loam,Maharashtra,3.2,6.5-7.5,8
AG177,Ragi,GPU 71,Both,3:1:1,79,54,34,123,Red soil,Karnataka,3.5,6.0-7.0,9
AG178,Paddy,ADT 39,Kharif,4:1:1,92,62,42,136,Clay,Tamil Nadu,6.3,5.5-6.5,1
AG179,Paddy,MTU 7029,Rabi,4:1:1,90,60,40,137,Alluvial,Andhra Pradesh,6.0,5.0-6.0,1
AG180,Cotton,Ajeet 155,Kharif,2:1:1,81,56,36,169,Black soil,Maharashtra,2.9,6.5-7.5,11
AG181,Cotton,Dr Brent,Both,2:1:1,84,59,39,174,Deep black,Gujarat,3.1,6.0-7.0,10
AG182,Sugarcane,CO 86032,Annual,5:2:2,98,68,48,370,Clay loam,Karnataka,95,6.5-7.5,7
AG183,Sugarcane,CO 0232,Annual,5:2:2,96,66,46,368,Sandy loam,Tamil Nadu,92,6.0-7.0,8
AG184,Turmeric,IISR Pragathi,Kharif,3:1:2.4,88,58,38,245,Red soil,Kerala,30,6.0-7.0,8
AG185,Turmeric,Rajendra Sonia,Both,3:1:2.4,86,56,36,243,Clay loam,Bihar,28,6.5-7.5,7
AG186,Maize,NK 6240,Kharif,2:1:1,79,54,34,107,Black soil,Punjab,9.4,6.0-7.0,8
AG187,Maize,900M Gold,Rabi,2:1:1,82,57,37,111,Red soil,Haryana,9.8,6.5-7.5,7
AG188,Groundnut,VRI 8,Both,1:2:3,74,49,34,118,Sandy loam,Tamil Nadu,3.3,6.0-7.0,9
AG189,Groundnut,TG 37A,Kharif,1:2:3,76,51,36,121,Red soil,Gujarat,3.5,6.5-7.5,10
AG190,Banana,Red Banana,Annual,2:1:3,94,64,44,378,Rich loam,Kerala,46,6.0-7.5,3
AG191,Banana,Virupakshi,Annual,2:1:3,92,62,42,374,Sandy loam,Tamil Nadu,44,6.5-7.0,4
AG192,Tomato,Arka Abha,Both,5:2.5:2,89,59,39,99,Well-drained,Karnataka,42,6.0-7.0,4
AG193,Tomato,Pusa Sheetal,Kharif,5:2.5:2,90,60,40,101,Red soil,Delhi,43,6.5-7.5,3
AG194,Chilli,Arka Suphal,Both,3:1:1,80,55,35,160,Black soil,Karnataka,3.2,6.0-7.0,5
AG195,Chilli,LCA 625,Kharif,3:1:1,82,57,37,164,Red soil,Telangana,3.5,6.5-7.5,6
AG196,Onion,Bhima Red,Rabi,3:1:1,77,52,32,98,Sandy loam,Maharashtra,22,6.0-7.0,4
AG197,Onion,Arka Kirthiman,Both,3:1:1,75,50,30,96,Red soil,Karnataka,19,6.5-7.5,5
AG198,Coconut,Kalpa Samrudhi,Annual,5:3:12,101,71,51,365,Coastal sandy,Kerala,157,6.0-7.0,7
AG199,Coconut,VHC 3,Annual,5:3:12,99,69,49,365,Sandy loam,Tamil Nadu,154,6.5-7.5,7
AG200,Coconut,Kera Keralam,Annual,5:3:12,102,72,52,365,Coastal alluvial,Kerala,158,6.0-7.0,7
